sample_id,true_label,predicted_label,true_label_encoded,predicted_label_encoded,winning_proportion,decision_margin,is_correct,num_classes_voted,num_neighbors,neighbor_distance_mean,neighbor_distance_std,neighbor_indices,neighbor_distances
0,1,1,0,0,1.0,1.0,True,1,3,0.702656070391337,0.09902284092282145,"[0, 3, 4]","[0.5685082077980042, 0.7349227070808411, 0.804537296295166]"
1,1,1,0,0,1.0,1.0,True,1,3,0.6021640300750732,0.06193123114008313,"[0, 3, 6]","[0.530623733997345, 0.5941768288612366, 0.6816915273666382]"
2,1,1,0,0,1.0,1.0,True,1,3,0.8272921045621237,0.03286408475246984,"[6, 0, 3]","[0.7827324867248535, 0.8381306529045105, 0.8610131740570068]"
3,1,1,0,0,1.0,1.0,True,1,3,0.5646453897158304,0.005767971883311513,"[0, 3, 7]","[0.5570375323295593, 0.5659008622169495, 0.5709977746009827]"
4,1,1,0,0,1.0,1.0,True,1,3,0.6639671921730042,0.024173156974390535,"[7, 0, 1]","[0.6352697014808655, 0.6622270345687866, 0.6944048404693604]"
5,1,1,0,0,1.0,1.0,True,1,3,0.6329608162244161,0.03651128890700781,"[7, 4, 0]","[0.5813642740249634, 0.6570389270782471, 0.6604792475700378]"
6,1,1,0,0,1.0,1.0,True,1,3,0.5381309688091278,0.2423529773147184,"[7, 0, 6]","[0.1954067051410675, 0.7067530751228333, 0.7122331261634827]"
7,1,1,0,0,1.0,1.0,True,1,3,0.6674208243687948,0.09417982441097514,"[0, 3, 4]","[0.540141761302948, 0.6970781683921814, 0.7650425434112549]"
8,1,1,0,0,1.0,1.0,True,1,3,0.610240638256073,0.0662193635467013,"[0, 7, 4]","[0.5514512062072754, 0.5765056610107422, 0.7027650475502014]"
9,1,1,0,0,1.0,1.0,True,1,3,0.5255950291951498,0.24161375429599002,"[5, 2, 3]","[0.18784916400909424, 0.6496170163154602, 0.7393189072608948]"
10,3,3,15,15,1.0,1.0,True,1,3,0.7447067101796468,0.011379181858827886,"[8, 9, 10]","[0.7320916652679443, 0.7423612475395203, 0.7596672177314758]"
11,3,3,15,15,1.0,1.0,True,1,3,0.7829118967056274,0.09225169032584056,"[11, 12, 9]","[0.6524673700332642, 0.8462026715278625, 0.8500656485557556]"
12,3,3,15,15,1.0,1.0,True,1,3,0.6422116160392761,0.1626959682005032,"[11, 12, 9]","[0.41678112745285034, 0.7150421738624573, 0.7948115468025208]"
13,3,3,15,15,1.0,1.0,True,1,3,0.8901992241541544,0.04753946364257991,"[11, 12, 14]","[0.8390113711357117, 0.878045916557312, 0.9535403847694397]"
14,3,3,15,15,1.0,1.0,True,1,3,0.6570978363355001,0.0831682672228113,"[11, 12, 9]","[0.5515217781066895, 0.664989173412323, 0.7547825574874878]"
15,3,3,15,15,1.0,1.0,True,1,3,0.6345097621281942,0.03241090485349648,"[12, 11, 9]","[0.5981830954551697, 0.6284660696983337, 0.6768801212310791]"
16,3,3,15,15,1.0,1.0,True,1,3,0.6765353282292684,0.054074048642070126,"[9, 11, 12]","[0.6000677943229675, 0.7140333652496338, 0.7155048251152039]"
17,4,4,22,22,1.0,1.0,True,1,3,0.5560961365699768,0.0009669358313477234,"[21, 18, 20]","[0.5551436543464661, 0.5557226538658142, 0.5574221014976501]"
18,4,4,22,22,1.0,1.0,True,1,3,0.6342917680740356,0.044127911352553416,"[18, 21, 20]","[0.5738099813461304, 0.6512144804000854, 0.6778508424758911]"
19,4,4,22,22,1.0,1.0,True,1,3,0.6195315917332967,0.06399179802139991,"[21, 22, 17]","[0.5442913174629211, 0.6136017441749573, 0.7007017135620117]"
20,4,4,22,22,1.0,1.0,True,1,3,0.6089204549789429,0.05649371433876444,"[16, 18, 19]","[0.544481635093689, 0.6002370715141296, 0.68204265832901]"
21,4,4,22,22,1.0,1.0,True,1,3,0.6275702516237894,0.03758509104947542,"[16, 20, 21]","[0.5842074155807495, 0.6226301193237305, 0.6758732199668884]"
22,4,4,22,22,1.0,1.0,True,1,3,0.5446238120396932,0.01007665593333539,"[17, 21, 22]","[0.5314399003982544, 0.5465310215950012, 0.555900514125824]"
23,4,4,22,22,1.0,1.0,True,1,3,0.6255246798197428,0.040453857660646145,"[16, 21, 20]","[0.5710787773132324, 0.6375323534011841, 0.667962908744812]"
24,4,4,22,22,1.0,1.0,True,1,3,0.563554068406423,0.00424164285044815,"[23, 16, 22]","[0.557608962059021, 0.5658344626426697, 0.5672187805175781]"
25,4,4,22,22,1.0,1.0,True,1,3,0.6841978828112284,0.016229840171763887,"[21, 17, 16]","[0.6621382832527161, 0.6897374987602234, 0.7007178664207458]"
26,4,4,22,22,1.0,1.0,True,1,3,0.5643043021361033,0.05031637182080189,"[16, 19, 20]","[0.495237797498703, 0.5840061902999878, 0.6136689186096191]"
27,7,7,48,48,1.0,1.0,True,1,3,0.2943312128384908,0.0016950925096067165,"[42, 47, 46]","[0.2919851839542389, 0.29507747292518616, 0.29593098163604736]"
28,7,7,48,48,1.0,1.0,True,1,3,0.35017385085423786,0.012524564568823334,"[46, 47, 42]","[0.33790481090545654, 0.3452449142932892, 0.3673718273639679]"
29,7,7,48,48,1.0,1.0,True,1,3,0.4769178330898285,0.019833505748013874,"[45, 47, 46]","[0.45678165555000305, 0.470075786113739, 0.5038960576057434]"
30,7,7,48,48,1.0,1.0,True,1,3,0.36299148201942444,0.014277376599233718,"[40, 42, 46]","[0.3490888774394989, 0.3572619557380676, 0.3826236128807068]"
31,7,7,48,48,1.0,1.0,True,1,3,0.4120711286862691,0.02861896534930934,"[47, 46, 40]","[0.38480865955352783, 0.3997960686683655, 0.45160865783691406]"
32,7,7,48,48,1.0,1.0,True,1,3,0.36477822065353394,0.010916644570035827,"[46, 44, 47]","[0.3514537513256073, 0.36468741297721863, 0.3781934976577759]"
33,7,7,48,48,1.0,1.0,True,1,3,0.3482155998547872,0.010255521876677354,"[46, 42, 47]","[0.33637306094169617, 0.34688571095466614, 0.36138802766799927]"
34,8,8,49,49,1.0,1.0,True,1,3,0.5536726514498392,0.024824689301195954,"[53, 54, 49]","[0.5189394354820251, 0.5666120052337646, 0.575466513633728]"
35,8,8,49,49,1.0,1.0,True,1,3,0.6303688685099283,0.020437778718397134,"[51, 48, 53]","[0.606697142124176, 0.6278418898582458, 0.6565675735473633]"
36,8,8,49,49,1.0,1.0,True,1,3,0.6023927927017212,0.005343132191689281,"[48, 51, 54]","[0.5977746844291687, 0.5995222330093384, 0.6098814606666565]"
37,8,8,49,49,1.0,1.0,True,1,3,0.5399445494016012,0.01779920162564681,"[51, 50, 48]","[0.5150535106658936, 0.5491428375244141, 0.5556373000144958]"
38,8,8,49,49,1.0,1.0,True,1,3,0.8045024275779724,0.03692529051547705,"[54, 51, 48]","[0.7611066102981567, 0.8010444641113281, 0.8513562083244324]"
39,8,8,49,49,1.0,1.0,True,1,3,0.5654658079147339,0.022597157479573374,"[51, 53, 54]","[0.5337005257606506, 0.5783198475837708, 0.5843770503997803]"
40,8,8,49,49,1.0,1.0,True,1,3,0.43736358483632404,0.0453881520832037,"[51, 48, 50]","[0.39752164483070374, 0.41370025277137756, 0.5008688569068909]"
41,8,8,49,49,1.0,1.0,True,1,3,0.569270114103953,0.017085685848104718,"[54, 48, 49]","[0.5463767647743225, 0.5740233659744263, 0.5874102115631104]"
